"Product Name",Type,SKU,"Attribute Set Name","Skin Concern(s)","Benefits - Quiz",status,qty
"Quench Oil Free Hydrating Face Serum Deluxe Sample (Complimentary Gift)",simple,35098,"Kate Somerville",Anti-Aging;Oily,,disabled,99984
"True Lash Lash Enhancing Eye Makeup Remover (Gift)",simple,124,"Kate Somerville","Anti-Aging;All Skin Types",,disabled,0
"Daily Deflector™ Moisturizer Broad Spectrum SPF 20 Anti-Aging Sunscreen",simple,10149,"Kate Somerville Protection",Anti-Aging;Dry,,enabled,143
"KateCeuticals™ Multi-Active Repair Lifting and Lineless Cream ",simple,10127,"Kate Somerville Moisturizers",Anti-Aging,,enabled,182
"KateCeuticals™ Moisture Milk Cleanser",simple,10148,"Kate Somerville Cleansers",Anti-Aging;Dry,,enabled,117
"KateCeuticals™ Multi-Active Repair Eye Cream",simple,10129,"Kate Somerville Eye Creams",Anti-Aging,,enabled,363
"Ultimate Oil Free Duo",simple,10166,"Kate Somerville",Acne;Oily,,enabled,44
"2 Somerville360 Face Self Tanning Pads & ExfoliKate Intensive 0.5 oz (Complimentary Gift)",simple,16116,"Kate Somerville",,,disabled,0
"Somerville360® Face Self Tanning Pad (Sample)",simple,39015,"Kate Somerville","All Skin Types",,enabled,0
"Somerville360® Body Tanning Towelettes",configurable,10116_Somerville360B,"Kate Somerville","All Skin Types",,enabled,0
"Somerville360® Body Tanning Towelettes-16 pack Luxury Size",simple,10169,"Kate Somerville","All Skin Types",,enabled,546
"Somerville360® Body Tanning Towelettes-8 pack",simple,10116,"Kate Somerville","All Skin Types",,enabled,575
"ExfoliKate® Intensive Exfoliating Treatment, 0.5 Fl. Oz.",simple,10119,"Kate Somerville Exfoliators","Anti-Aging;Anti-Aging & Acne;Discoloration;Dry;Oily;All Skin Types",,enabled,237
"CytoCell Dark Circle Corrective Eye Cream and True Lash Eye Makeup Remover (Complimentary Gift)",simple,16117,"Kate Somerville","All Skin Types",,disabled,0
"Daily Deflector Moisturizer Broad Spectrum SPF 20 Anti-Aging Sunscreen (Complimentary Gift)",simple,35106,"Kate Somerville",,,disabled,0
"Clinical Breakthrough Kit",simple,10142,"Kate Somerville",Anti-Aging,,enabled,0
"Golden Glow Kit",simple,10147,"Kate Somerville","All Skin Types",,disabled,0
"KateCeuticals™ Multi-Active Repair Lifting and Lineless Cream (Sample)",simple,39016,"Kate Somerville",Anti-Aging,,enabled,101
"KateCeuticals™ Multi-Active Repair Eye Cream (Sample)",simple,39017,"Kate Somerville",Anti-Aging,,enabled,231
"Daily Deflector™ Broad Spectrum SPF 20 Anti-Aging Sunscreen (Sample)",simple,39018,"Kate Somerville",Anti-Aging;Dry,,enabled,232
"Mini Nourish Daily Moisturizer and 2 Clinic-to-Go Resurfacing Peel Pads (Complimentary Gift)",simple,16114,"Kate Somerville",,,disabled,0
"Summer Glow Duo",simple,10172,"Kate Somerville","All Skin Types",,disabled,0
"Complimentary Gift Test",simple,"test -Complimentary",Default,,,enabled,0
"Purify Clarifying Cleanser (Complimentary Gift)",simple,16144,"Kate Somerville",Oily,,enabled,158
"Gentle Daily Wash (Complimentary Gift)",simple,16142,"Kate Somerville","All Skin Types",,enabled,76
"Detox Daily Cleanser  (Complimentary Gift)",simple,16143,"Kate Somerville",Acne;Oily,,enabled,148
"KateCeuticals™ Restor8 Replenishing Serum",simple,10165,"Kate Somerville Serums",Anti-Aging,,enabled,461
"CytoCell™ P299 Oil Free Anti-Wrinkle Serum",simple,10159,"Kate Somerville Serums",Anti-Aging,,enabled,199
"KateCeuticals™ Restor8 Replenishing Serum (Sample)",simple,39019,"Kate Somerville",Anti-Aging,,enabled,439
"Nourish Body Perfection Body Rescue Cream",simple,10163,"Kate Somerville","All Skin Types",,enabled,265
"Perfect and Polish Duo",simple,10174,"Kate Somerville","All Skin Types",,disabled,0
